101490,1130166,4.5119,0,0,50003193,25-02-2022,ZFOC,,,11
102150,1130595,4.8254,0,0,50003193,25-02-2022,ZFOC,,,11
106499,1101019,1.1199,0,0,50002266,25-02-2022,ZFOC,,,11
106622,1131905,1.1675,0,0,50003416,25-02-2022,ZFOC,,,
106734,1101653,1.5076,0,0,50003516,25-02-2022,ZFOC,,,
107944,1120193,2.472,0,0,50003561,25-02-2022,ZFOC,,,
106350,1101305,0.6776,0,0,50003372,25-02-2022,ZFOC,,,
103878,1122508,0.8528,0,0,50002786,25-02-2022,ZFOC,,,
103552,1122508,0.5736,0,0,50002786,25-02-2022,ZFOC,,,
106762,1122508,0.2284,0,0,50002786,25-02-2022,ZFOC,,,
108000,1124720,1.4974,0,0,50002412,25-02-2022,ZFOC,,,
106664,1100152,2.6421,0,0,50002412,25-02-2022,ZFOC,,,
106777,1101003,0.5457,0,0,50002455,25-02-2022,ZFOC,,,
103783,1101003,0.1999,0,0,50002455,25-02-2022,ZFOC,,,
103641,1102263,0.4327,0,0,50002244,25-02-2022,ZFOC,,,
103655,1100858,3.7595,0,0,50001513,25-02-2022,ZFOC,,,
107988,1101003,0.3312,0,0,50002455,25-02-2022,ZFOC,,,
